Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Event Management,Chrome 74.0.3729.131,,2019-05-10 15:54:56,2019-05-10 16:01:29,6m - 32.411s,PASSED
,,,,,,
Test Cases/Login to unicrm,Chrome 74.0.3729.131,,2019-05-10 15:55:07,2019-05-10 15:56:48,1m - 40.885s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,Open browser,2019-05-10 15:55:32,2019-05-10 15:56:22,49.744s,PASSED
"navigateToUrl(""https://unicrm--engageuat.my.salesforce.com/"")",Chrome 74.0.3729.131,,2019-05-10 15:56:22,2019-05-10 15:56:26,4.606s,PASSED
"setText(findTestObject(""Page_Login  Salesforce/input_Username_username""), ""eventsadmin@monash.edu.engageuat"")",Chrome 74.0.3729.131,,2019-05-10 15:56:26,2019-05-10 15:56:28,1.984s,PASSED
"setEncryptedText(findTestObject(""Page_Login  Salesforce/input_Password_pw""), ""VWz9qj7gPNou+AqqE2IZfg=="")",Chrome 74.0.3729.131,,2019-05-10 15:56:28,2019-05-10 15:56:29,0.552s,PASSED
"click(findTestObject(""Page_Login  Salesforce/input_Password_Login""))",Chrome 74.0.3729.131,,2019-05-10 15:56:29,2019-05-10 15:56:34,5.348s,PASSED
waitForPageLoad(6),Chrome 74.0.3729.131,,2019-05-10 15:56:34,2019-05-10 15:56:41,7.073s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,2019-05-10 15:56:41,2019-05-10 15:56:43,1.598s,PASSED
"waitForElementClickable(findTestObject(""Page_Home  Salesforce/span_Campaigns""), 0)",Chrome 74.0.3729.131,,2019-05-10 15:56:43,2019-05-10 15:56:44,0.911s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-10 15:56:44,2019-05-10 15:56:48,4.250s,PASSED
"comment(""Use has been successfully logged into unicrm"")",Chrome 74.0.3729.131,,2019-05-10 15:56:48,2019-05-10 15:56:48,0.272s,PASSED
,,,,,,
Test Cases/Create event,Chrome 74.0.3729.131,,2019-05-10 15:56:49,2019-05-10 15:57:27,37.706s,PASSED
"navigateToUrl(""https://unicrm--engageuat.lightning.force.com/lightning/o/Campaign/list?filterName=Recent"", STOP_ON_FAILURE)",Chrome 74.0.3729.131,,2019-05-10 15:57:11,2019-05-10 15:57:12,1.426s,PASSED
"click(findTestObject(""Page_Recently Viewed  Campaigns  Salesforce/div_New (1)""))",Chrome 74.0.3729.131,,2019-05-10 15:57:12,2019-05-10 15:57:15,3.033s,PASSED
"click(findTestObject(""Page_Recently Viewed  Campaigns  Salesforce/span_Guest List Containing Campaign Members_slds-radio--faux (1)""))",Chrome 74.0.3729.131,,2019-05-10 15:57:15,2019-05-10 15:57:18,2.577s,PASSED
"click(findTestObject(""Page_Recently Viewed  Campaigns  Salesforce/span_Guest List Containing Campaign Members_slds-radio--faux (1)""))",Chrome 74.0.3729.131,,2019-05-10 15:57:18,2019-05-10 15:57:18,0.617s,PASSED
"click(findTestObject(""Page_Recently Viewed  Campaigns  Salesforce/span_Next (1)""))",Chrome 74.0.3729.131,,2019-05-10 15:57:18,2019-05-10 15:57:19,0.174s,PASSED
"setText(findTestObject(""Page_Recently Viewed  Campaigns  Salesforce/input__71009a (1)""), ""Automated Test Campaign"")",Chrome 74.0.3729.131,,2019-05-10 15:57:19,2019-05-10 15:57:20,1.728s,PASSED
"click(findTestObject(""Page_Recently Viewed  Campaigns  Salesforce/Event_Status""))",Chrome 74.0.3729.131,,2019-05-10 15:57:20,2019-05-10 15:57:20,0.165s,PASSED
"click(findTestObject(""Page_Recently Viewed  Campaigns  Salesforce/Planned""))",Chrome 74.0.3729.131,,2019-05-10 15:57:20,2019-05-10 15:57:21,0.193s,PASSED
"click(findTestObject(""Page_Recently Viewed  Campaigns  Salesforce/Event_group""))",Chrome 74.0.3729.131,,2019-05-10 15:57:21,2019-05-10 15:57:21,0.541s,PASSED
"click(findTestObject(""Page_Recently Viewed  Campaigns  Salesforce/a_Alumni""))",Chrome 74.0.3729.131,,2019-05-10 15:57:21,2019-05-10 15:57:21,0.229s,PASSED
"setText(findTestObject(""Page_Recently Viewed  Campaigns  Salesforce/label_Event Location real (1)""), ""21 welington rd"")",Chrome 74.0.3729.131,,2019-05-10 15:57:21,2019-05-10 15:57:22,0.229s,PASSED
