Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Event Management,Chrome 74.0.3729.131,,2019-05-09 09:34:38,2019-05-09 09:40:45,6m - 6.858s,FAILED
,,,,,,
Test Cases/Login to unicrm,Chrome 74.0.3729.131,,2019-05-09 09:34:45,2019-05-09 09:36:18,1m - 32.767s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,Open browser,2019-05-09 09:35:07,2019-05-09 09:35:51,43.883s,PASSED
"navigateToUrl(""https://unicrm--engageuat.my.salesforce.com/"")",Chrome 74.0.3729.131,,2019-05-09 09:35:51,2019-05-09 09:35:57,5.391s,PASSED
"setText(findTestObject(""Page_Login  Salesforce/input_Username_username""), ""eventsadmin@monash.edu.engageuat"")",Chrome 74.0.3729.131,,2019-05-09 09:35:57,2019-05-09 09:35:59,2.098s,PASSED
"setEncryptedText(findTestObject(""Page_Login  Salesforce/input_Password_pw""), ""VWz9qj7gPNou+AqqE2IZfg=="")",Chrome 74.0.3729.131,,2019-05-09 09:35:59,2019-05-09 09:35:59,0.483s,PASSED
"click(findTestObject(""Page_Login  Salesforce/input_Password_Login""))",Chrome 74.0.3729.131,,2019-05-09 09:35:59,2019-05-09 09:36:04,4.454s,PASSED
waitForPageLoad(6),Chrome 74.0.3729.131,,2019-05-09 09:36:04,2019-05-09 09:36:11,6.992s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,2019-05-09 09:36:11,2019-05-09 09:36:12,1.351s,PASSED
"waitForElementClickable(findTestObject(""Page_Home  Salesforce/span_Campaigns""), 0)",Chrome 74.0.3729.131,,2019-05-09 09:36:12,2019-05-09 09:36:13,0.910s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-09 09:36:13,2019-05-09 09:36:17,4.480s,PASSED
"comment(""Use has been successfully logged into unicrm"")",Chrome 74.0.3729.131,,2019-05-09 09:36:17,2019-05-09 09:36:18,0.199s,PASSED
,,,,,,
Test Cases/Create event,Chrome 74.0.3729.131,,2019-05-09 09:36:18,2019-05-09 09:36:47,29.110s,PASSED
"navigateToUrl(""https://unicrm--engageuat.lightning.force.com/lightning/o/Campaign/list?filterName=Recent"", STOP_ON_FAILURE)",Chrome 74.0.3729.131,,2019-05-09 09:36:33,2019-05-09 09:36:35,1.124s,PASSED
"click(findTestObject(""Page_Recently Viewed  Campaigns  Salesforce/div_New (1)""))",Chrome 74.0.3729.131,,2019-05-09 09:36:35,2019-05-09 09:36:37,2.482s,PASSED
"click(findTestObject(""Page_Recently Viewed  Campaigns  Salesforce/span_Guest List Containing Campaign Members_slds-radio--faux (1)""))",Chrome 74.0.3729.131,,2019-05-09 09:36:37,2019-05-09 09:36:39,2.264s,PASSED
"click(findTestObject(""Page_Recently Viewed  Campaigns  Salesforce/span_Guest List Containing Campaign Members_slds-radio--faux (1)""))",Chrome 74.0.3729.131,,2019-05-09 09:36:39,2019-05-09 09:36:40,0.246s,PASSED
"click(findTestObject(""Page_Recently Viewed  Campaigns  Salesforce/span_Next (1)""))",Chrome 74.0.3729.131,,2019-05-09 09:36:40,2019-05-09 09:36:40,0.201s,PASSED
"setText(findTestObject(""Page_Recently Viewed  Campaigns  Salesforce/input__71009a (1)""), ""Automated Test Campaign"")",Chrome 74.0.3729.131,,2019-05-09 09:36:40,2019-05-09 09:36:41,1.539s,PASSED
